student_id,angkatan,program,jenis_kelamin,id_agama,ips_sem1,ips_sem2,ips_sem3,ips_sem4,ipk_sem4,sks_sem1,sks_sem2,sks_sem3,sks_sem4,total_sks_lulus_sem4,failed_courses,failed_in_sem1,repeated_courses,avg_attendance,ips_trend,avg_ips,ips_std,ips_max,ips_min,sks_completion_ratio,semester_count,target
2162105,2016,IH,L,2,,3.0,0.0,,0.75,,2,6,,8,1,0,0,,-3.0,1.5,2.1213,3.0,0.0,0.1,3,0
2162106,2016,IH,L,1,,4.0,3.0,,3.25,,2,6,,8,0,0,0,,-1.0,3.5,0.7071,4.0,3.0,0.1,3,1
2162107,2016,IH,L,4,,3.0,3.0,,3.0,,2,6,,8,0,0,0,,0.0,3.0,0.0,3.0,3.0,0.1,3,1
2162309,2016,AP,L,1,3.09,3.0,0.3,3.15,2.37,22,16,20,20,78,7,0,8,,0.06,2.385,1.3914,3.15,0.3,0.975,6,1
2162310,2016,AP,P,1,3.27,3.5,3.3,3.74,3.44,22,16,20,19,77,0,0,0,,0.47,3.4525,0.2172,3.74,3.27,0.9625,6,1
2162311,2016,AP,L,1,3.18,3.0,2.95,3.11,3.06,22,16,20,19,77,0,0,0,,-0.07,3.06,0.1042,3.18,2.95,0.9625,6,1
2162312,2016,AP,L,1,3.18,3.13,3.5,3.37,3.3,22,16,20,19,77,0,0,0,,0.19,3.295,0.1714,3.5,3.13,0.9625,6,1
2162313,2016,AP,L,1,3.09,3.25,3.3,3.16,3.19,22,16,20,19,77,0,0,0,,0.07,3.2,0.0935,3.3,3.09,0.9625,6,1
2162314,2016,AP,P,2,3.27,3.38,3.3,3.4699999999999998,3.35,22,16,20,19,77,0,0,0,,0.2,3.355,0.0896,3.47,3.27,0.9625,6,1
2162315,2016,AP,L,1,3.18,3.25,3.3,3.4699999999999998,3.3,22,16,20,19,77,0,0,0,,0.29,3.3,0.1236,3.47,3.18,0.9625,6,1
